GemeentecodeGM,Municipality,Locations,Total_capacity
GM0772,Eindhoven,2,196
GM0230,Elburg,0,0
GM0114,Emmen,1,740
GM0388,Enkhuizen,0,0
GM0153,Enschede,1,550
GM0232,Epe,1,268
GM0233,Ermelo,0,0
GM0777,Etten-Leur,0,0
GM1940,De Fryske Marren,1,500
GM0779,Geertruidenberg,0,0
GM1771,Geldrop-Mierlo,1,54
GM1652,Gemert-Bakel,0,0
GM0907,Gennep,0,0
GM0784,Gilze en Rijen,1,1200
GM1924,Goeree-Overflakkee,1,120
GM0664,Goes,1,450
GM0785,Goirle,0,0
GM1942,Gooise Meren,0,0
GM0512,Gorinchem,1,300
GM0513,Gouda,1,208
GM0518,Den Haag,3,754
GM0014,Groningen ,5,730
GM1729,Gulpen-Wittem,0,0
GM0158,Haaksbergen,1,34
GM0392,Haarlem,4,622
GM0394,Haarlemmermeer,2,900
GM1655,Halderberge,0,0
GM0160,Hardenberg,2,850
GM0243,Harderwijk,1,800
GM0523,Hardinxveld-Giessendam,0,0
GM0072,Harlingen,1,160
GM0244,Hattem,0,0
GM0396,Heemskerk,0,0
GM0397,Heemstede,0,0
GM0246,Heerde,0,0
GM0074,Heerenveen,0,0
GM0917,Heerlen,1,380
GM1658,Heeze-Leende,0,0
GM0399,Heiloo,1,80
GM0400,Den Helder,4,1007
GM0163,Hellendoorn,0,0
GM0794,Helmond,3,160
GM0531,Hendrik-Ido-Ambacht,1,200
GM0164,Hengelo (O.),2,370
GM0796,s-Hertogenbosch,1,250
GM0252,Heumen,0,0
GM0797,Heusden,0,0
GM0534,Hillegom,0,0
GM0798,Hilvarenbeek,0,0
GM0402,Hilversum,1,148
GM1963,Hoeksche Waard,1,400
GM1735,Hof van Twente,2,125
GM1966,Het Hogeland,2,500
GM1911,Hollands Kroon,0,0
GM0118,Hoogeveen,1,1000
GM0405,Hoorn,0,0
GM1507,Horst aan de Maas,0,0
GM0321,Houten,0,0
GM0406,Huizen,1,200
GM0677,Hulst,0,0
GM0353,IJsselstein,0,0
GM1884,Kaag en Braassem,0,0
GM0166,Kampen,2,100
GM0678,Kapelle,0,0
GM0537,Katwijk,1,570
GM0928,Kerkrade,0,0
GM1598,Koggenland,0,0
GM0542,Krimpen aan den IJssel,1,140
GM1931,Krimpenerwaard,1,80
GM1659,Laarbeek,0,0
GM1982,Land van Cuijk,1,600
GM0882,Landgraaf,0,0
GM0415,Landsmeer,0,0
GM1621,Lansingerland,1,50
GM0417,Laren (NH.),0,0
GM0080,Leeuwarden,3,710
GM0546,Leiden,2,525
GM0547,Leiderdorp,0,0
GM1916,Leidschendam-Voorburg,0,0
GM0995,Lelystad,0,0
GM1640,Leudal,1,600
GM0327,Leusden,1,80
GM1705,Lingewaard,0,0
GM0553,Lisse,0,0
GM0262,Lochem,1,65
GM0809,Loon op Zand,0,0
GM0331,Lopik,0,0
GM0168,Losser,0,0
GM0263,Maasdriel,0,0
GM1641,Maasgouw,0,0
GM1991,Maashorst,1,200
GM0556,Maassluis,1,70
GM0935,Maastricht,3,760
GM0420,Medemblik,0,0
GM0938,Meerssen,0,0
GM1948,Meierijstad,1,48
GM0119,Meppel,1,192
GM0687,Middelburg (Z.),2,492
GM1842,Midden-Delfland,0,0
GM1731,Midden-Drenthe,1,68
GM1952,Midden-Groningen,0,0
GM1709,Moerdijk,0,0
GM1978,Molenlanden,0,0
GM1955,Montferland,0,0
GM0335,Montfoort,0,0
GM0944,Mook en Middelaar,0,0
GM1740,Neder-Betuwe,0,0
GM0946,Nederweert,0,0
GM0356,Nieuwegein,0,0
GM0569,Nieuwkoop,0,0
GM0267,Nijkerk,0,0
GM0268,Nijmegen,2,520
GM1930,Nissewaard,0,0
GM1970,Noardeast-Fryslân,0,0
GM1695,Noord-Beveland,0,0
GM1699,Noordenveld,1,43
GM0171,Noordoostpolder,1,1000
GM0575,Noordwijk,0,0
GM0820,"Nuenen, Gerwen en Nederwetten",0,0
GM0302,Nunspeet,1,100
GM0579,Oegstgeest,1,175
GM0823,Oirschot,1,150
GM0824,Oisterwijk,2,450
GM1895,Oldambt,1,180
GM0269,Oldebroek,0,0
GM0173,Oldenzaal,0,0
GM1773,Olst-Wijhe,0,0
GM0175,Ommen,0,0
GM1586,Oost Gelre,0,0
GM0826,Oosterhout,2,130
GM0085,Ooststellingwerf,1,190
GM0431,Oostzaan,0,0
GM0432,Opmeer,0,0
GM0086,Opsterland,1,20
GM0828,Oss,0,0
GM1509,Oude IJsselstreek,0,0
GM0437,Ouder-Amstel,1,30
GM0589,Oudewater,0,0
GM1734,Overbetuwe,0,0
GM0590,Papendrecht,2,135
GM1894,Peel en Maas,1,316
GM0765,Pekela,0,0
GM1926,Pijnacker-Nootdorp,0,0
GM0439,Purmerend,1,80
GM0273,Putten,0,0
GM0177,Raalte,1,110
GM0703,Reimerswaal,0,0
GM0274,Renkum,2,250
GM0339,Renswoude,0,0
GM1667,Reusel-De Mierden,0,0
GM0275,Rheden,1,130
GM0340,Rhenen,0,0
GM0597,Ridderkerk,1,92
GM1742,Rijssen-Holten,0,0
GM0603,Rijswijk (ZH.),0,0
GM1669,Roerdalen,0,0
GM0957,Roermond,0,0
GM0736,De Ronde Venen,0,0
GM1674,Roosendaal,0,0
GM0599,Rotterdam,5,1968
GM0277,Rozendaal,0,0
GM0840,Rucphen,0,0
GM0441,Schagen,0,0
GM0279,Scherpenzeel,0,0
GM0606,Schiedam,1,66
GM0088,Schiermonnikoog,0,0
GM1676,Schouwen-Duiveland,0,0
GM0965,Simpelveld,0,0
GM0845,Sint-Michielsgestel,0,0
GM1883,Sittard-Geleen,0,0
GM0610,Sliedrecht,0,0
GM1714,Sluis,0,0
GM0090,Smallingerland,1,857
GM0342,Soest,1,90
GM0847,Someren,0,0
GM0848,Son en Breugel,0,0
GM0037,Stadskanaal,1,428
GM0180,Staphorst,0,0
GM0532,,200?,
GM0851,Steenbergen,0,0
GM1708,Steenwijkerland,0,0
GM0971,Stein (L.),0,0
GM1904,Stichtse Vecht,0,0
GM1900,Súdwest-Fryslân,2,700
GM0715,Terneuzen,0,0
GM0093,Terschelling,0,0
GM0448,Texel,0,0
GM1525,Teylingen,0,0
GM0716,Tholen,0,0
GM0281,Tiel,1,40
GM0855,Tilburg,2,44
GM0183,Tubbergen,0,0
GM1700,Twenterand,0,0
GM1730,Tynaarlo,3,256
GM0737,Tytsjerksteradiel,1,600
GM0450,Uitgeest,0,0
GM0451,Uithoorn,0,0
GM0184,Urk,0,0
GM0344,Utrecht ,6,1351
GM1581,Utrechtse Heuvelrug,1,625
GM0981,Vaals,0,0
GM0994,Valkenburg aan de Geul,0,0
GM0858,Valkenswaard,0,0
GM0047,Veendam,1,100
GM0345,Veenendaal,0,0
GM0717,Veere,0,0
GM0861,Veldhoven,1,300
GM0453,Velsen,2,400
GM0983,Venlo,0,0
GM0984,Venray,0,0
GM1961,Vijfheerenlanden,1,100
GM0622,Vlaardingen,0,0
GM0096,Vlieland,0,0
GM0718,Vlissingen,1,575
GM0986,Voerendaal,0,0
GM1992,Voorne aan Zee,1,92
GM0626,Voorschoten,1,180
GM0285,Voorst,0,0
GM0865,Vught,0,0
GM1949,Waadhoeke,1,400
GM0866,Waalre,0,0
GM0867,Waalwijk,0,0
GM0627,Waddinxveen,0,0
GM0289,Wageningen,4,741
GM0629,Wassenaar,1,930
GM0852,Waterland,1,160
GM0988,Weert,0,0
GM1960,West Betuwe,0,0
GM0668,West Maas en Waal,0,0
GM1969,Westerkwartier,0,0
GM1701,Westerveld,2,190
GM0293,Westervoort,0,0
GM1950,Westerwolde,1,2000
GM1783,Westland,0,0
GM0098,Weststellingwerf,0,0
GM0189,Wierden,1,56
GM0296,Wijchen,0,0
GM1696,Wijdemeren,0,0
GM0352,Wijk bij Duurstede,0,0
GM0294,Winterswijk,1,500
GM0873,Woensdrecht,0,0
GM0632,Woerden,0,0
GM1690,De Wolden,0,0
GM0880,Wormerland,0,0
GM0351,Woudenberg,0,0
GM0479,Zaanstad,1,550
GM0297,Zaltbommel,0,0
GM0473,Zandvoort,0,0
GM0050,Zeewolde,0,0
GM0355,Zeist,2,846
GM0299,Zevenaar,1,100
GM0637,Zoetermeer,1,630
GM0638,Zoeterwoude,0,0
GM1892,Zuidplas,0,0
GM0879,Zundert,1,190
GM0301,Zutphen,1,740
GM1896,Zwartewaterland,0,0
GM0642,Zwijndrecht,1,230
GM0193,Zwolle,2,346
